Factor Year,Factor Number,Factor Date,Customer ID,Order ID,Start of rental,End of rental,Machine ID,Product Group,Product Category,Amount,Row Reason,Days Sold,Warehouse Unit,Sales Quantity,Sales Unit,Month
2021,IT  004295,2021/07/31,cust03,2020/ON  001393,2020-02-20,2023-05-30,CLI1083,Rent Vans,Rent Vans,600.0,ADS,31.0,GG,1.0,MES,2.0
2021,IT  004296,2021/07/31,cust03,2021/ON  005058,2021-06-17,2021-08-09,A215,Rent Vans,Rent Vans,666.5,ADS,31.0,GG,31.0,GG,6.0
2021,IT  004302,2021/07/31,cust19,2021/ON  004292,2021-05-22,2021-08-06,A209,Rent Outfitted,Rent Outfitted,1498.23,ADS,31.0,GG,31.0,GG,5.0
2021,IT  004313,2021/07/31,cust06,2020/ON  008031,2020-10-30,2023-04-11,A211,Rent Outfitted,Rent Outfitted,1090.0,ADS,31.0,GG,1.0,MES,10.0
2021,IT  004316,2021/07/31,cust13,2021/ON  000588,2021-01-22,2021-12-28,A182,Rent Outfitted,Rent Outfitted,1200.0,ADS,31.0,GG,1.0,MES,1.0
2021,IT  004333,2021/07/31,cust20,2021/ON  005428,2021-07-01,2021-11-04,CLI1115,Rent Vans,Rent Vans,1000.0,ADS,31.0,GG,1.0,MES,7.0
2021,IT  004342,2021/07/31,cust21,2021/ON  003843,2021-05-10,2022-04-28,CLI1099,Rent Vans,Rent Vans,800.0,ADS,31.0,GG,1.0,MES,5.0
2021,IT  004343,2021/07/31,cust21,2021/ON  005187,2021-06-21,2022-02-28,A214,Rent Vans,Rent Vans,800.0,ADS,31.0,GG,1.0,MES,6.0
2021,IT  004426,2021/07/31,cust12,2021/ON  002647,2021-03-27,2021-08-24,CLI1100,Rent Outfitted,Rent Outfitted,1780.0,ADS,31.0,GG,1.0,MES,3.0
2021,IT  004500,2021/07/31,cust10,2020/ON  007595,2020-10-24,2021-09-10,CLI0918,Rent Vans,,500.0,ADS,31.0,GG,1.0,MES,10.0
2021,IT  004501,2021/07/31,cust10,2021/ON  001032,2021-02-03,2022-02-11,CLI0946,Rent Vans,Rent Vans,400.0,ADS,31.0,GG,1.0,MES,2.0
2021,IT  004502,2021/07/31,cust10,2020/ON  005466,2020-08-01,2022-06-24,CLI0976,Rent Vans,Rent Vans,600.0,ADS,31.0,GG,1.0,MES,8.0
2021,IT  004528,2021/07/31,cust22,2021/ON  004985,2021-06-17,2021-12-20,A212,Rent Outfitted,Rent Outfitted,1050.0,ADS,31.0,GG,1.0,MES,6.0
2021,IT  004542,2021/07/31,cust11,2021/ON  004453,2021-05-29,2021-10-23,CLI1095,Rent Outfitted,Rent Outfitted,1550.0,ADS,31.0,GG,31.0,GG,5.0
2021,IT  004543,2021/07/31,cust11,2021/ON  004665,2021-06-04,2021-08-06,A184,Rent Outfitted,Rent Outfitted,1395.0,ADS,31.0,GG,31.0,GG,6.0
2021,IT  004606,2021/07/31,cust09,2019/ON  010621,2019-12-17,2022-08-29,CLI1094,Rent Outfitted,Rent Outfitted,1787.77,ADS,31.0,GG,31.0,GG,12.0
2021,IT  004606,2021/07/31,cust09,2021/ON  005210,2021-06-22,2021-12-20,A205,Rent Outfitted,Rent Outfitted,1550.0,ADS,31.0,GG,31.0,GG,6.0
2021,IT  004804,2021/08/17,cust16,2021/ON  002264,2021-03-15,2021-09-16,A181,Rent Vans,Rent Vans,1400.0,ADS,31.0,GG,1.0,MES,3.0
2021,IT  005034,2021/08/31,cust03,2020/ON  001385,2020-02-20,2022-01-21,CLI0973,Rent Vans,Rent Vans,600.0,ADS,31.0,GG,1.0,MES,2.0
2021,IT  005035,2021/08/31,cust03,2020/ON  001393,2020-02-20,2023-05-30,CLI1083,Rent Vans,Rent Vans,600.0,ADS,31.0,GG,1.0,MES,2.0
2021,IT  005036,2021/08/31,cust23,2021/ON  006390,2021-07-30,2021-10-15,A199,Rent Vans,Rent Vans,400.0,ADS,31.0,GG,1.0,MES,7.0
2021,IT  005050,2021/08/31,cust06,2020/ON  008031,2020-10-30,2023-04-11,A211,Rent Outfitted,Rent Outfitted,1090.0,ADS,31.0,GG,1.0,MES,10.0
2021,IT  005059,2021/08/31,cust20,2021/ON  005428,2021-07-01,2021-11-04,CLI1115,Rent Vans,Rent Vans,1000.0,ADS,31.0,GG,1.0,MES,7.0
2021,IT  005060,2021/08/31,cust21,2021/ON  005596,2021-07-07,2022-02-28,CLI1098,Rent Vans,Rent Vans,800.0,ADS,31.0,GG,1.0,MES,7.0
2021,IT  005077,2021/08/31,cust18,2021/ON  005323,2021-07-01,2022-01-31,CLI1093,Rent Outfitted,Rent Outfitted,1250.0,ADS,31.0,GG,1.0,MES,7.0
2021,IT  005091,2021/08/31,cust21,2021/ON  003843,2021-05-10,2022-04-28,CLI1099,Rent Vans,Rent Vans,800.0,ADS,31.0,GG,1.0,MES,5.0
2021,IT  005092,2021/08/31,cust21,2021/ON  005187,2021-06-21,2022-02-28,A214,Rent Vans,Rent Vans,800.0,ADS,31.0,GG,1.0,MES,6.0
2021,IT  005207,2021/08/31,cust10,2020/ON  005466,2020-08-01,2022-06-24,CLI0976,Rent Vans,Rent Vans,600.0,ADS,31.0,GG,1.0,MES,8.0
2021,IT  005205,2021/08/31,cust10,2020/ON  007595,2020-10-24,2021-09-10,CLI0918,Rent Vans,,500.0,ADS,31.0,GG,1.0,MES,10.0
2021,IT  005206,2021/08/31,cust10,2021/ON  001032,2021-02-03,2022-02-11,CLI0946,Rent Vans,Rent Vans,400.0,ADS,31.0,GG,1.0,MES,2.0
2021,IT  005230,2021/08/31,cust22,2021/ON  004985,2021-06-17,2021-12-20,A212,Rent Outfitted,Rent Outfitted,1050.0,ADS,31.0,GG,1.0,MES,6.0
2021,IT  005241,2021/08/31,cust11,2021/ON  004453,2021-05-29,2021-10-23,CLI1095,Rent Outfitted,Rent Outfitted,1550.0,ADS,31.0,GG,31.0,GG,5.0
2021,IT  005328,2021/08/31,cust09,2019/ON  010621,2019-12-17,2022-08-29,CLI1094,Rent Outfitted,Rent Outfitted,1787.77,ADS,31.0,GG,31.0,GG,12.0
2021,IT  005328,2021/08/31,cust09,2020/ON  009370,2020-12-09,2022-10-13,A208,Rent Outfitted,Rent Outfitted,1600.0,ADS,31.0,GG,1.0,MES,12.0
2021,IT  005328,2021/08/31,cust09,2021/ON  005210,2021-06-22,2021-12-20,A205,Rent Outfitted,Rent Outfitted,1550.0,ADS,31.0,GG,31.0,GG,6.0
2021,IT  006382,2021/10/31,cust16,2021/ON  007306,2021-09-16,2021-11-22,A217,Rent Vans,Rent Vans,1007.5,ADS,31.0,GG,31.0,GG,9.0
2021,IT  006384,2021/10/31,cust18,2021/ON  005323,2021-07-01,2022-01-31,CLI1093,Rent Outfitted,Rent Outfitted,1250.0,ADS,31.0,GG,1.0,MES,7.0
2021,IT  006385,2021/10/31,cust03,2020/ON  001385,2020-02-20,2022-01-21,CLI0973,Rent Vans,Rent Vans,600.0,ADS,31.0,GG,1.0,MES,2.0
2021,IT  006386,2021/10/31,cust03,2020/ON  001393,2020-02-20,2023-05-30,CLI1083,Rent Vans,Rent Vans,600.0,ADS,31.0,GG,1.0,MES,2.0
2021,IT  006388,2021/10/31,cust24,2021/ON  006297,2021-08-02,2021-12-21,CLI1119,Rent Vans,Rent Vans,775.0,ADS,31.0,GG,31.0,GG,8.0
2021,IT  006402,2021/10/31,cust25,2021/ON  006831,2021-08-31,2023-11-09,CLI1101,Rent Vans,Rent Vans,650.0,ADS,31.0,GG,1.0,MES,8.0
2021,IT  006404,2021/10/31,cust06,2020/ON  008031,2020-10-30,2023-04-11,A211,Rent Outfitted,Rent Outfitted,1090.0,ADS,31.0,GG,1.0,MES,10.0
2021,IT  006407,2021/10/31,cust13,2021/ON  000588,2021-01-22,2021-12-28,A182,Rent Outfitted,Rent Outfitted,1200.0,ADS,31.0,GG,1.0,MES,1.0
2021,IT  006412,2021/10/31,cust26,2021/ON  007695,2021-09-30,2021-12-15,CLI1097,Rent Special,Rent Outfitted,1500.0,ADS,31.0,GG,1.0,MES,9.0
2021,IT  006416,2021/10/31,cust21,2021/ON  005596,2021-07-07,2022-02-28,CLI1098,Rent Vans,Rent Vans,800.0,ADS,31.0,GG,1.0,MES,7.0
2021,IT  006456,2021/10/31,cust19,2021/ON  006967,2021-08-27,2022-07-01,A209,Rent Outfitted,Rent Outfitted,1498.23,ADS,31.0,GG,31.0,GG,8.0
2021,IT  006481,2021/10/31,cust21,2021/ON  003843,2021-05-10,2022-04-28,CLI1099,Rent Vans,Rent Vans,800.0,ADS,31.0,GG,1.0,MES,5.0
2021,IT  006482,2021/10/31,cust21,2021/ON  005187,2021-06-21,2022-02-28,A214,Rent Vans,Rent Vans,800.0,ADS,31.0,GG,1.0,MES,6.0
2021,IT  006525,2021/10/31,cust12,2021/ON  006869,2021-08-24,2022-02-22,A206,Rent Outfitted,Rent Outfitted,1780.0,ADS,31.0,GG,1.0,MES,8.0
2021,IT  006606,2021/10/31,cust10,2021/ON  001032,2021-02-03,2022-02-11,CLI0946,Rent Vans,Rent Vans,400.0,ADS,31.0,GG,1.0,MES,2.0
2021,IT  006607,2021/10/31,cust10,2020/ON  005466,2020-08-01,2022-06-24,CLI0976,Rent Vans,Rent Vans,600.0,ADS,31.0,GG,1.0,MES,8.0
2021,IT  006608,2021/10/31,cust10,2021/ON  004867,2021-06-19,2023-09-18,CLI1087,Rent Vans,Rent Vans,600.0,ADS,31.0,GG,1.0,MES,6.0
2021,IT  006636,2021/10/31,cust22,2021/ON  004985,2021-06-17,2021-12-20,A212,Rent Outfitted,Rent Outfitted,1050.0,ADS,31.0,GG,1.0,MES,6.0
2021,IT  006658,2021/10/31,cust11,2021/ON  007063,2021-09-01,2021-11-26,A183,Rent Outfitted,Rent Outfitted,1240.0,ADS,31.0,GG,31.0,GG,9.0
2021,IT  006659,2021/10/31,cust11,2021/ON  006803,2021-08-20,2022-10-13,A184,Rent Outfitted,Rent Outfitted,1395.0,ADS,31.0,GG,31.0,GG,8.0
2021,IT  006660,2021/10/31,cust11,2021/ON  006804,2021-08-20,2022-02-05,CLI1113,Rent Outfitted,Rent Outfitted,1240.0,ADS,31.0,GG,31.0,GG,8.0
2021,IT  006661,2021/10/31,cust11,2021/ON  007156,2021-09-06,2022-12-15,A213,Rent Outfitted,Rent Outfitted,2015.0,ADS,31.0,GG,31.0,GG,9.0
2021,IT  006723,2021/10/31,cust27,2021/ON  007248,2021-09-09,2022-01-25,A215,Rent Vans,Rent Vans,1054.0,ADS,31.0,GG,31.0,GG,9.0
2021,IT  006770,2021/10/31,cust09,2019/ON  010621,2019-12-17,2022-08-29,CLI1094,Rent Outfitted,Rent Outfitted,1787.77,ADS,31.0,GG,31.0,GG,12.0
2021,IT  006770,2021/10/31,cust09,2020/ON  009370,2020-12-09,2022-10-13,A208,Rent Outfitted,Rent Outfitted,1600.0,ADS,31.0,GG,1.0,MES,12.0
2021,IT  006770,2021/10/31,cust09,2021/ON  005210,2021-06-22,2021-12-20,A205,Rent Outfitted,Rent Outfitted,1550.0,ADS,31.0,GG,31.0,GG,6.0
2021,IT  006770,2021/10/31,cust09,2021/ON  007762,2021-09-29,2021-12-31,CLI1100,Rent Outfitted,Rent Outfitted,1600.0,ADS,31.0,GG,1.0,MES,9.0
2021,IT  007799,2021/12/17,cust12,2021/ON  006869,2021-08-24,2022-02-22,A206,Rent Outfitted,Rent Outfitted,1780.0,ADS,31.0,GG,1.0,MES,8.0
2021,IT  007887,2021/12/21,cust03,2020/ON  001385,2020-02-20,2022-01-21,CLI0973,Rent Vans,Rent Vans,600.0,ADS,31.0,GG,1.0,MES,2.0
2021,IT  007888,2021/12/21,cust03,2020/ON  001393,2020-02-20,2023-05-30,CLI1083,Rent Vans,Rent Vans,600.0,ADS,31.0,GG,1.0,MES,2.0
2021,IT  008012,2021/12/27,cust19,2021/ON  006967,2021-08-27,2022-07-01,A209,Rent Outfitted,Rent Outfitted,1498.23,ADS,31.0,GG,31.0,GG,8.0
2021,IT  008034,2021/12/27,cust10,2021/ON  001032,2021-02-03,2022-02-11,CLI0946,Rent Vans,Rent Vans,400.0,ADS,31.0,GG,1.0,MES,2.0
2021,IT  008035,2021/12/27,cust10,2020/ON  005466,2020-08-01,2022-06-24,CLI0976,Rent Vans,Rent Vans,600.0,ADS,31.0,GG,1.0,MES,8.0
2021,IT  008036,2021/12/27,cust10,2021/ON  004867,2021-06-19,2023-09-18,CLI1087,Rent Vans,Rent Vans,600.0,ADS,31.0,GG,1.0,MES,6.0
2021,IT  008039,2021/12/27,cust25,2021/ON  007658,2021-10-07,2024-07-29,A195,Rent Vans,Rent Vans,600.0,ADS,31.0,GG,1.0,MES,10.0
2021,IT  008040,2021/12/27,cust25,2021/ON  006831,2021-08-31,2023-11-09,CLI1101,Rent Vans,Rent Vans,650.0,ADS,31.0,GG,1.0,MES,8.0
2021,IT  008032,2021/12/27,cust11,2021/ON  006803,2021-08-20,2022-10-13,A184,Rent Outfitted,Rent Outfitted,1395.0,ADS,31.0,GG,31.0,GG,8.0
2021,IT  008033,2021/12/27,cust11,2021/ON  006804,2021-08-20,2022-02-05,CLI1113,Rent Outfitted,Rent Outfitted,1240.0,ADS,31.0,GG,31.0,GG,8.0
2021,IT  008031,2021/12/27,cust11,2021/ON  007156,2021-09-06,2022-12-15,A213,Rent Outfitted,Rent Outfitted,2015.0,ADS,31.0,GG,31.0,GG,9.0
2021,IT  008030,2021/12/27,cust11,2021/ON  008334,2021-10-23,2022-11-21,A218,Rent Vans,Rent Vans,1240.0,ADS,31.0,GG,31.0,GG,10.0
2021,IT  008129,2021/12/27,cust28,2021/ON  009641,2021-11-26,2022-03-31,A183,Rent Outfitted,Rent Outfitted,1240.0,ADS,31.0,GG,31.0,GG,11.0
2021,IT  008130,2021/12/27,cust29,2021/ON  008999,2021-11-17,2022-10-31,CLI1084,Rent Outfitted,Rent Outfitted,1150.0,ADS,31.0,GG,1.0,MES,11.0
2021,IT  008152,2021/12/27,cust21,2021/ON  005596,2021-07-07,2022-02-28,CLI1098,Rent Vans,Rent Vans,800.0,ADS,31.0,GG,1.0,MES,7.0
2021,IT  008153,2021/12/27,cust21,2021/ON  005187,2021-06-21,2022-02-28,A214,Rent Vans,Rent Vans,800.0,ADS,31.0,GG,1.0,MES,6.0
2021,IT  008165,2021/12/28,cust21,2021/ON  003843,2021-05-10,2022-04-28,CLI1099,Rent Vans,Rent Vans,800.0,ADS,31.0,GG,1.0,MES,5.0
2021,IT  008264,2021/12/29,cust18,2021/ON  005323,2021-07-01,2022-01-31,CLI1093,Rent Outfitted,Rent Outfitted,1250.0,ADS,31.0,GG,1.0,MES,7.0
2021,IT  008305,2021/12/31,cust30,2021/ON  008417,2021-10-22,2023-01-17,A199,Rent Vans,Rent Vans,750.0,ADS,31.0,GG,1.0,MES,10.0
2021,IT  008307,2021/12/31,cust06,2020/ON  008031,2020-10-30,2023-04-11,A211,Rent Outfitted,Rent Outfitted,1090.0,ADS,31.0,GG,1.0,MES,10.0
2021,IT  008365,2021/12/31,cust09,2019/ON  010621,2019-12-17,2022-08-29,CLI1094,Rent Outfitted,Rent Outfitted,1787.77,ADS,31.0,GG,31.0,GG,12.0
2021,IT  008365,2021/12/31,cust09,2020/ON  009370,2020-12-09,2022-10-13,A208,Rent Outfitted,Rent Outfitted,1600.0,ADS,31.0,GG,1.0,MES,12.0
2021,IT  008349,2021/12/31,cust31,2021/ON  008106,2021-10-11,2022-01-14,A181,Rent Vans,Rent Vans,1674.0,ADS,31.0,GG,31.0,GG,10.0
2021,IT  008365,2021/12/31,cust09,2021/ON  007762,2021-09-29,2021-12-31,CLI1100,Rent Outfitted,Rent Outfitted,1600.0,ADS,30.5,GG,1.0,MES,9.0
2021,IA  000074,2021/03/15,cust32,2021/ON  002254,2021-03-17,2021-04-15,CLI1115,Rent Vans,Rent Vans,1350.0,ADN,30.0,GG,30.0,GG,3.0
2021,IT  001768,2021/03/31,cust33,2020/ON  009451,2020-12-10,2021-04-02,T110,Telehandlers,Rotating Telehandlers,2799.6,ADN,30.0,GG,30.0,GG,12.0
2021,IT  002047,2021/04/21,cust16,2021/ON  002264,2021-03-15,2021-09-16,A181,Rent Vans,Rent Vans,950.0,ADS,30.0,GG,1.0,MES,3.0
2021,IT  002201,2021/04/30,cust03,2020/ON  001385,2020-02-20,2022-01-21,CLI0973,Rent Vans,Rent Vans,600.0,ADS,30.0,GG,1.0,MES,2.0
2021,IT  002202,2021/04/30,cust03,2020/ON  001393,2020-02-20,2023-05-30,CLI1083,Rent Vans,Rent Vans,600.0,ADS,30.0,GG,1.0,MES,2.0
2021,IT  002205,2021/04/30,cust04,2020/ON  008522,2020-11-11,2021-06-18,CLI1098,Rent Vans,Rent Vans,950.0,ADS,30.0,GG,1.0,MES,11.0
2021,IT  002323,2021/04/30,cust12,2021/ON  002647,2021-03-27,2021-08-24,CLI1100,Rent Outfitted,Rent Outfitted,1780.0,ADS,30.0,GG,1.0,MES,3.0
2021,IT  002232,2021/04/30,cust06,2020/ON  008031,2020-10-30,2023-04-11,A211,Rent Outfitted,Rent Outfitted,1350.0,ADS,30.0,GG,1.0,MES,10.0
2021,IT  002239,2021/04/30,cust13,2021/ON  000588,2021-01-22,2021-12-28,A182,Rent Outfitted,Rent Outfitted,1200.0,ADS,30.0,GG,1.0,MES,1.0
2021,IT  002353,2021/04/30,cust10,2020/ON  005466,2020-08-01,2022-06-24,CLI0976,Rent Vans,Rent Vans,600.0,ADS,30.0,GG,1.0,MES,8.0
2021,IT  002354,2021/04/30,cust10,2020/ON  007595,2020-10-24,2021-09-10,CLI0918,Rent Vans,,500.0,ADS,30.0,GG,1.0,MES,10.0
2021,IT  002355,2021/04/30,cust10,2020/ON  008514,2020-11-21,2021-06-19,CLI0914,Rent Vans,Rent Vans,399.9,ADS,30.0,GG,30.0,GG,11.0
2021,IT  002356,2021/04/30,cust10,2021/ON  001032,2021-02-03,2022-02-11,CLI0946,Rent Vans,Rent Vans,400.0,ADS,30.0,GG,1.0,MES,2.0
2021,IT  002392,2021/04/30,cust14,2021/ON  001812,2021-03-01,2021-06-07,A163,Rent with Crane,Rent with Crane,2100.0,ADS,30.0,GG,1.0,MES,3.0
2021,IT  002412,2021/04/30,cust11,2020/ON  008860,2020-11-20,2021-05-23,A213,Rent Outfitted,Rent Outfitted,1350.0,ADS,30.0,GG,30.0,GG,11.0
2021,IT  002475,2021/04/30,cust09,2019/ON  010621,2019-12-17,2022-08-29,CLI1094,Rent Outfitted,Rent Outfitted,1730.1,ADS,30.0,GG,30.0,GG,12.0
2021,IT  002475,2021/04/30,cust09,2020/ON  009370,2020-12-09,2022-10-13,A208,Rent Outfitted,Rent Outfitted,1600.0,ADS,30.0,GG,1.0,MES,12.0
