Product A,Product B,Support A,Support B,Support (A ∩ B),Confidence (A → B),Confidence (B → A),Lift (A → B),Lift (B → A)
Telehandler Accessory,Truck Platform Accessory,0.2669,0.0052,0.0017,0.0065,0.3333,1.2489,1.2489
Telehandler Accessory,Telehandlers,0.2669,0.5286,0.175,0.6558,0.3311,1.2407,1.2407
Column Lifts,Vertical Lifts,0.0312,0.5459,0.0208,0.6667,0.0381,1.2212,1.2212
Truck Platform Accessory,Vertical Lifts,0.0052,0.5459,0.0035,0.6667,0.0063,1.2212,1.2212
Subrental Vehicles,Vertical Lifts,0.0832,0.5459,0.0537,0.6458,0.0984,1.183,1.183
Electric Cranes,Rotating Boom Lifts,0.0763,0.6742,0.0607,0.7955,0.09,1.1799,1.1799
Column Lifts,Rotating Boom Lifts,0.0312,0.6742,0.0243,0.7778,0.036,1.1537,1.1537
Electric Cranes,Various Equipment,0.0763,0.0399,0.0035,0.0455,0.087,1.1403,1.1403
Truck Mounted Platforms,Various Equipment,0.5009,0.0399,0.0225,0.045,0.5652,1.1285,1.1285
Rent with Crane,Truck Mounted Platforms,0.0711,0.5009,0.0399,0.561,0.0796,1.12,1.12
Rotating Boom Lifts,Vertical Lifts,0.6742,0.5459,0.4107,0.6093,0.7524,1.116,1.116
Rent Special,Rent with Crane,0.0225,0.0711,0.0017,0.0769,0.0244,1.0826,1.0826
Operators,Rent with Crane,0.2946,0.0711,0.0225,0.0765,0.3171,1.0762,1.0762
Rotating Boom Lifts,Truck Cranes,0.6742,0.0624,0.0451,0.0668,0.7222,1.0713,1.0713
Rent Vans,Subrental Vehicles,0.1386,0.0832,0.0121,0.0875,0.1458,1.0518,1.0518
Rent Vans,Truck Mounted Platforms,0.1386,0.5009,0.0728,0.525,0.1453,1.0482,1.0482
Electric Cranes,Telehandlers,0.0763,0.5286,0.0416,0.5455,0.0787,1.0319,1.0319
Rent with Crane,Vertical Lifts,0.0711,0.5459,0.0399,0.561,0.073,1.0276,1.0276
Electric Cranes,Rent Outfitted,0.0763,0.1993,0.0156,0.2045,0.0783,1.0263,1.0263
Subrental Vehicles,Telehandlers,0.0832,0.5286,0.0451,0.5417,0.0852,1.0247,1.0247
Electric Cranes,Telehandler Accessory,0.0763,0.2669,0.0208,0.2727,0.0779,1.0218,1.0218
Machines with Operator,Various Equipment,0.2565,0.0399,0.0104,0.0405,0.2609,1.017,1.017
Electric Cranes,Rent Special,0.0763,0.0225,0.0017,0.0227,0.0769,1.0087,1.0087
Column Lifts,Truck Mounted Platforms,0.0312,0.5009,0.0156,0.5,0.0311,0.9983,0.9983
Machines with Operator,Truck Mounted Platforms,0.2565,0.5009,0.1282,0.5,0.2561,0.9983,0.9983
Rotating Boom Lifts,Subrental Vehicles,0.6742,0.0832,0.0555,0.0823,0.6667,0.9889,0.9889
Telehandlers,Various Equipment,0.5286,0.0399,0.0208,0.0393,0.5217,0.987,0.987
Rent Outfitted,Truck Mounted Platforms,0.1993,0.5009,0.0971,0.487,0.1938,0.9722,0.9722
Rent with Crane,Telehandlers,0.0711,0.5286,0.0364,0.5122,0.0689,0.969,0.969
Rotating Boom Lifts,Telehandlers,0.6742,0.5286,0.3449,0.5116,0.6525,0.9678,0.9678
Telehandlers,Vertical Lifts,0.5286,0.5459,0.279,0.5279,0.5111,0.9669,0.9669
Operators,Truck Mounted Platforms,0.2946,0.5009,0.1404,0.4765,0.2803,0.9513,0.9513
Column Lifts,Telehandlers,0.0312,0.5286,0.0156,0.5,0.0295,0.9459,0.9459
Electric Crane Accessory,Telehandlers,0.0208,0.5286,0.0104,0.5,0.0197,0.9459,0.9459
Column Lifts,Operators,0.0312,0.2946,0.0087,0.2778,0.0294,0.9428,0.9428
Electric Cranes,Operators,0.0763,0.2946,0.0208,0.2727,0.0706,0.9257,0.9257
Rent Special,Subrental Vehicles,0.0225,0.0832,0.0017,0.0769,0.0208,0.9247,0.9247
Electric Crane Accessory,Vertical Lifts,0.0208,0.5459,0.0104,0.5,0.019,0.9159,0.9159
Telehandler Accessory,Vertical Lifts,0.2669,0.5459,0.1317,0.4935,0.2413,0.904,0.904
Rotating Boom Lifts,Truck Mounted Platforms,0.6742,0.5009,0.305,0.4524,0.609,0.9033,0.9033
Column Lifts,Truck Cranes,0.0312,0.0624,0.0017,0.0556,0.0278,0.8904,0.8904
Rotating Boom Lifts,Yard Staff,0.6742,0.0087,0.0052,0.0077,0.6,0.89,0.89
Operators,Various Equipment,0.2946,0.0399,0.0104,0.0353,0.2609,0.8854,0.8854
Truck Mounted Platforms,Vertical Lifts,0.5009,0.5459,0.2409,0.481,0.4413,0.881,0.881
Rotating Boom Lifts,Telehandler Accessory,0.6742,0.2669,0.156,0.2314,0.5844,0.8669,0.8669
Electric Crane Accessory,Rotating Boom Lifts,0.0208,0.6742,0.0121,0.5833,0.018,0.8653,0.8653
Rent Special,Vertical Lifts,0.0225,0.5459,0.0104,0.4615,0.019,0.8454,0.8454
Machines with Operator,Rotating Boom Lifts,0.2565,0.6742,0.1456,0.5676,0.2159,0.8419,0.8419
Rotating Boom Lifts,Various Equipment,0.6742,0.0399,0.0225,0.0334,0.5652,0.8384,0.8384
Operators,Rotating Boom Lifts,0.2946,0.6742,0.1664,0.5647,0.2468,0.8376,0.8376
Column Lifts,Rent Outfitted,0.0312,0.1993,0.0052,0.1667,0.0261,0.8362,0.8362
Rent Outfitted,Subrental Vehicles,0.1993,0.0832,0.0139,0.0696,0.1667,0.8362,0.8362
Column Lifts,Telehandler Accessory,0.0312,0.2669,0.0069,0.2222,0.026,0.8326,0.8326
Rent with Crane,Telehandler Accessory,0.0711,0.2669,0.0156,0.2195,0.0584,0.8225,0.8225
Electric Cranes,Subrental Vehicles,0.0763,0.0832,0.0052,0.0682,0.0625,0.8196,0.8196
Telehandler Accessory,Various Equipment,0.2669,0.0399,0.0087,0.0325,0.2174,0.8145,0.8145
Truck Mounted Platforms,Yard Staff,0.5009,0.0087,0.0035,0.0069,0.4,0.7986,0.7986
Telehandlers,Truck Mounted Platforms,0.5286,0.5009,0.2097,0.3967,0.4187,0.7921,0.7921
Truck Cranes,Vertical Lifts,0.0624,0.5459,0.026,0.4167,0.0476,0.7632,0.7632
Rent with Crane,Rotating Boom Lifts,0.0711,0.6742,0.0364,0.5122,0.054,0.7597,0.7597
Telehandlers,Yard Staff,0.5286,0.0087,0.0035,0.0066,0.4,0.7567,0.7567
Rent Vans,Vertical Lifts,0.1386,0.5459,0.0572,0.4125,0.1048,0.7556,0.7556
Rent Outfitted,Telehandlers,0.1993,0.5286,0.078,0.3913,0.1475,0.7403,0.7403
Vertical Lifts,Yard Staff,0.5459,0.0087,0.0035,0.0063,0.4,0.7327,0.7327
Column Lifts,Electric Cranes,0.0312,0.0763,0.0017,0.0556,0.0227,0.7285,0.7285
Rent Outfitted,Rotating Boom Lifts,0.1993,0.6742,0.0971,0.487,0.144,0.7223,0.7223
Various Equipment,Vertical Lifts,0.0399,0.5459,0.0156,0.3913,0.0286,0.7168,0.7168
Electric Cranes,Machines with Operator,0.0763,0.2565,0.0139,0.1818,0.0541,0.7088,0.7088
Operators,Subrental Vehicles,0.2946,0.0832,0.0173,0.0588,0.2083,0.7071,0.7071
Machines with Operator,Vertical Lifts,0.2565,0.5459,0.0988,0.3851,0.181,0.7055,0.7055
Rent Outfitted,Vertical Lifts,0.1993,0.5459,0.0745,0.3739,0.1365,0.6849,0.6849
Rent Special,Rotating Boom Lifts,0.0225,0.6742,0.0104,0.4615,0.0154,0.6846,0.6846
Operators,Vertical Lifts,0.2946,0.5459,0.1092,0.3706,0.2,0.6788,0.6788
Telehandler Accessory,Truck Mounted Platforms,0.2669,0.5009,0.0901,0.3377,0.1799,0.6742,0.6742
Column Lifts,Subrental Vehicles,0.0312,0.0832,0.0017,0.0556,0.0208,0.6678,0.6678
Rent Vans,Telehandlers,0.1386,0.5286,0.0485,0.35,0.0918,0.6621,0.6621
Rent Outfitted,Various Equipment,0.1993,0.0399,0.0052,0.0261,0.1304,0.6544,0.6544
Machines with Operator,Telehandlers,0.2565,0.5286,0.0884,0.3446,0.1672,0.6519,0.6519
Machines with Operator,Subrental Vehicles,0.2565,0.0832,0.0139,0.0541,0.1667,0.6498,0.6498
Operators,Telehandlers,0.2946,0.5286,0.1005,0.3412,0.1902,0.6454,0.6454
Machines with Operator,Rent Outfitted,0.2565,0.1993,0.0329,0.1284,0.1652,0.6441,0.6441
Electric Cranes,Truck Mounted Platforms,0.0763,0.5009,0.0243,0.3182,0.0484,0.6353,0.6353
Telehandlers,Truck Platform Accessory,0.5286,0.0052,0.0017,0.0033,0.3333,0.6306,0.6306
Rent Vans,Various Equipment,0.1386,0.0399,0.0035,0.025,0.087,0.6272,0.6272
Telehandler Accessory,Truck Cranes,0.2669,0.0624,0.0104,0.039,0.1667,0.6245,0.6245
Operators,Rent Outfitted,0.2946,0.1993,0.0364,0.1235,0.1826,0.6198,0.6198
Rent Special,Truck Mounted Platforms,0.0225,0.5009,0.0069,0.3077,0.0138,0.6143,0.6143
Rent with Crane,Various Equipment,0.0711,0.0399,0.0017,0.0244,0.0435,0.6119,0.6119
Electric Crane Accessory,Rent Vans,0.0208,0.1386,0.0017,0.0833,0.0125,0.601,0.601
Machines with Operator,Rent Special,0.2565,0.0225,0.0035,0.0135,0.1538,0.5998,0.5998
Operators,Rent Vans,0.2946,0.1386,0.0243,0.0824,0.175,0.594,0.594
Rent Vans,Rotating Boom Lifts,0.1386,0.6742,0.0555,0.4,0.0823,0.5933,0.5933
Rent Outfitted,Telehandler Accessory,0.1993,0.2669,0.0312,0.1565,0.1169,0.5864,0.5864
Machines with Operator,Rent Vans,0.2565,0.1386,0.0208,0.0811,0.15,0.5848,0.5848
Machines with Operator,Telehandler Accessory,0.2565,0.2669,0.0399,0.1554,0.1494,0.5823,0.5823
Rent Special,Telehandlers,0.0225,0.5286,0.0069,0.3077,0.0131,0.5821,0.5821
Operators,Telehandler Accessory,0.2946,0.2669,0.0451,0.1529,0.1688,0.573,0.573
Operators,Truck Cranes,0.2946,0.0624,0.0104,0.0353,0.1667,0.5657,0.5657
Rent Vans,Telehandler Accessory,0.1386,0.2669,0.0208,0.15,0.0779,0.562,0.562
Machines with Operator,Truck Cranes,0.2565,0.0624,0.0087,0.0338,0.1389,0.5415,0.5415
Subrental Vehicles,Truck Mounted Platforms,0.0832,0.5009,0.0225,0.2708,0.045,0.5407,0.5407
Subrental Vehicles,Various Equipment,0.0832,0.0399,0.0017,0.0208,0.0435,0.5226,0.5226
Rotating Boom Lifts,Truck Platform Accessory,0.6742,0.0052,0.0017,0.0026,0.3333,0.4944,0.4944
Electric Cranes,Rent Vans,0.0763,0.1386,0.0052,0.0682,0.0375,0.4918,0.4918
Electric Crane Accessory,Rent Outfitted,0.0208,0.1993,0.0017,0.0833,0.0087,0.4181,0.4181
Column Lifts,Rent Vans,0.0312,0.1386,0.0017,0.0556,0.0125,0.4007,0.4007
Rent Outfitted,Rent Special,0.1993,0.0225,0.0017,0.0087,0.0769,0.386,0.386
Subrental Vehicles,Truck Cranes,0.0832,0.0624,0.0017,0.0208,0.0278,0.3339,0.3339
Truck Cranes,Truck Mounted Platforms,0.0624,0.5009,0.0104,0.1667,0.0208,0.3328,0.3328
Subrental Vehicles,Telehandler Accessory,0.0832,0.2669,0.0069,0.0833,0.026,0.3122,0.3122
Rent with Crane,Subrental Vehicles,0.0711,0.0832,0.0017,0.0244,0.0208,0.2932,0.2932
Rent Special,Telehandler Accessory,0.0225,0.2669,0.0017,0.0769,0.0065,0.2882,0.2882
Operators,Rent Special,0.2946,0.0225,0.0017,0.0059,0.0769,0.2611,0.2611
Electric Crane Accessory,Truck Mounted Platforms,0.0208,0.5009,0.0017,0.0833,0.0035,0.1664,0.1664
